location,society,total_sqft,price,bath_processed,balcony_processed,availability_encoded,area_type_encoded,size_cleaned
Electronic City Phase II,Coomee ,1056.0,39.07,2,1,2,3,2
Chikka Tirupathi,Theanmp,2600.0,120.0,5,3,0,2,4
Lingadheeranahalli,Soiewre,1521.0,95.0,3,1,0,3,3
Whitefield,DuenaTa,1170.0,38.0,2,1,0,3,2
Old Airport Road,Jaades ,2732.0,204.0,4,1,2,3,4
Rajaji Nagar,Brway G,3300.0,600.0,4,1,0,3,4
Whitefield,Prrry M,2785.0,295.0,5,3,0,2,4
7th Phase JP Nagar,Shncyes,1000.0,38.0,2,1,0,3,2
Sarjapur,Skityer,2250.0,148.0,3,2,0,2,3
Mysore Road,PrntaEn,1175.0,73.5,2,2,0,3,2
Bisuvanahalli,Prityel,1180.0,48.0,3,2,0,3,3
Raja Rajeshwari Nagar,GrrvaGr,1540.0,60.0,3,3,0,3,3
Ramakrishnappa Layout,PeBayle,2770.0,290.0,4,2,0,3,3
Binny Pete,She 2rk,1755.0,122.0,3,1,2,3,3
Thanisandra,Soitya ,2800.0,380.0,5,2,0,2,4
 Thanisandra,Bhe 2ko,510.0,25.25,1,0,2,3,1
Electronic City,Itelaa ,660.0,23.1,1,1,0,3,2
Ramagondanahalli,ViistLa,1151.0,48.77,2,2,2,3,2
Electronic City,KBityo ,1025.0,47.0,2,1,0,3,3
Yelahanka,LedorSa,2100.0,186.0,4,0,2,3,4
Bisuvanahalli,Prityel,1075.0,35.0,2,1,0,3,3
Hebbal,Mahosya,1760.0,123.0,2,2,0,3,3
Raja Rajeshwari Nagar,GrrvaGr,1693.0,57.39,3,3,0,3,3
Kasturi Nagar,Kantsce,1925.0,125.0,3,3,0,0,3
Kanakpura Road,PrarePa,700.0,36.0,2,1,2,3,2
Kundalahalli,Dieldli,1724.0,125.0,3,2,0,3,3
Murugeshpalya,Gentson,1296.0,81.0,2,2,0,0,2
Sarjapur  Road,Soini T,1254.0,38.0,3,2,2,3,3
Ganga Nagar,Ceove G,600.0,38.0,1,0,0,3,1
Kanakpura Road,Soazak ,1330.74,91.79,2,2,2,3,2
Doddathoguru,LancyRe,970.0,33.0,2,0,0,3,2
Whitefield,Goted U,1459.0,94.82,2,1,2,3,2
Adarsh Nagar,Bhncyis,1270.0,50.0,2,1,0,3,2
Bhoganhalli,Rosha I,1670.0,99.0,3,1,2,3,3
Whitefield,Suent V,2010.0,91.0,3,2,0,0,3
Lakshminarayana Pura,RothaVa,1185.0,75.0,2,2,0,3,2
Yelahanka,NCowsar,1600.0,75.0,2,3,0,3,3
Begur Road,Dhalsh ,1200.0,44.0,2,2,0,3,2
Devanahalli,BrereAt,3010.0,192.0,2,2,2,0,4
Ramakrishnappa Layout,PeBayle,1500.0,185.0,2,2,0,3,2
Ganga Nagar,Laavevi,845.0,55.0,2,1,0,3,2
Whitefield,Chranya,5700.0,650.0,5,3,0,2,4
