iter	RMSE
0	142.0709369
1	135.9322809
2	130.8985226
3	126.0137584
4	121.964361
5	118.5123831
6	115.6085365
7	112.9195801
8	110.7741884
9	108.916501
10	107.1145676
11	105.5297232
12	104.254982
13	103.0897189
14	102.3201431
15	101.3289935
16	100.4455869
17	99.75730679
18	98.37465605
19	97.10987961
20	96.33882322
21	95.52471082
22	94.80663243
23	94.23208666
24	93.59060892
25	93.05856858
26	92.65416561
27	92.21310043
28	91.95073108
29	91.45756122
30	91.16083371
31	90.88569861
32	90.66949763
33	90.14193091
34	89.83662953
35	89.62811627
36	89.47934647
37	89.12654801
38	88.95003686
39	88.83469819
40	88.79277388
41	88.68366287
42	88.64337352
43	88.45519168
44	88.36378854
45	88.22593581
46	87.96714185
47	87.74068683
48	87.59265268
49	87.46847642
