iter	Passed	Remaining
0	50	2487
1	53	1282
2	56	880
3	59	679
4	62	560
5	64	474
6	67	417
7	71	373
8	76	350
9	80	323
10	83	295
11	85	271
12	88	250
13	90	233
14	93	219
15	96	204
16	98	191
17	100	179
18	106	173
19	108	163
20	111	153
21	113	145
22	116	137
23	119	129
24	121	121
25	124	115
26	132	112
27	141	111
28	146	106
29	152	101
30	156	96
31	160	90
32	164	84
33	167	79
34	174	74
35	178	69
36	180	63
37	184	58
38	186	52
39	189	47
40	192	42
41	197	37
42	200	32
43	203	27
44	210	23
45	213	18
46	216	13
47	219	9
48	224	4
49	228	0
